MSE,comp_time
0.384695468,3.358021975
0.310494054,4.152994871
0.269915042,5.464018106
0.240688018,7.164694071
0.219838532,12.96813202
0.202929063,27.73522186
0.193237245,18.96262884
0.180810985,10.26899219
0.170939272,11.14900088
0.162924196,14.34074688
0.157203116,15.68682504
0.149440441,17.042027
0.142944034,19.478194
0.138656511,19.10450697
0.134941318,23.13583016
0.131237781,20.09508419
0.127788089,22.31449008
0.122954062,24.29327917
0.120146038,25.66435122
0.118289771,26.69256711
0.11635581,25.23480797
0.112309407,28.23379588
0.110307615,29.60601997
0.10777465,28.63446116
0.105976671,36.79428196
0.104947722,37.18303609
0.100894508,33.7999959
0.101441393,30.19162989
0.098687851,30.52252507
0.096574109,31.36340904
0.0960192,33.25744009
0.094151384,33.60065603
0.093426723,35.11006403
0.091942598,35.96691298
0.090627113,37.01249099
0.088484926,38.30727291
0.087832443,38.75556898
0.086902664,39.97870207
0.08436511,42.80349302
0.084258942,41.74574494
0.08263359,43.18746686
0.081438868,45.330899
0.081684468,56.25195789
0.080520923,46.34596515
0.080204443,53.57929897
0.078834924,47.98835897
0.078015379,48.83838391
0.076836889,51.74159384
0.076181269,51.04125404
0.075984422,52.26505303
0.075842395,54.43603897
0.074109685,54.81429696
0.074240094,56.66122913
0.073307951,58.78387189
0.072422531,59.99521708
0.071667494,59.48508
0.07006255,60.10514593
0.070773995,63.80628514
0.069316836,63.44017291
0.068978144,76.24419498
0.068661528,64.63186407
0.067894922,72.37068391
0.068048716,69.322855
0.068088148,68.93877387
0.066991245,68.89241695
0.066096341,69.85489297
0.065248559,71.33235502
0.065312533,72.71253681
0.065121925,73.53491998
0.063351933,73.54822707
0.063833712,74.51510692
0.062803638,75.85019207
0.062761371,76.88420796
0.063023018,78.1229248
0.062236619,79.19029593
0.061672387,80.05917811
0.061386467,80.61702514
0.060583045,81.56081414
0.060536306,83.6587441
0.059868899,83.84445286
0.059661776,84.09082985
0.059296824,84.49414706
0.058822556,85.96025014
0.058632656,86.58131003
0.058138474,87.98724008
0.057903055,106.0353849
0.057406362,106.0566821
0.057538486,109.1675441
0.056691886,107.1996789
0.055848476,105.014554
0.056101016,96.59450006
0.055484006,98.93498993
0.055814268,117.133126
0.055851891,118.4327731
0.055101373,114.5095558
0.055212728,124.0668991
0.054451575,103.6735179
0.054838185,101.530689
0.054290509,102.2012422
